Author,Date,Title,Source,Vol.,No.,pp.,Category,URL
M. Zhang; J. Li; S. Brooks,2017-09-18,I-Seismograph: Observing, Measuring, and Analyzing Internet Earthquakes,IEEE/ACM Transactions on Networking,25,6,,Conference Paper,
W. Li; X. Li; H. Li,2017-09-18,MEET-IP: Memory and Energy Efficient TCAM-Based IP Lookup,2017 26th International Conference on Computer Communication and Networks (ICCCN),,,,Conference Paper,
H. Shulman,2017-09-15,Implications of Vulnerable Internet Infrastructure,Digital Marketplaces Unleashed,,,921-935,Peer,
W. Shao; J. Rougier; A. Paris; F. Devienne; M. Viste,2017-09-01,One-to-One Matching of RTT and Path Changes,arXiv:1709.04819,,,,Peer,
A. Kolesnikov,2017-08-22,Generation of Web Workloads,Loaod Modelling and Generation in IP-based Networking,,,214-247,Peer,
K. Berahmand; A. Bouyer,2017-08-17,A Link-Based Similarity for Improving Community Detection Based on Label Propagation Algorithm,Journal of Systems Science and Complexity,32,,737-758,Conference Paper,
A. Allahdadi; R. Morla; R. Prior,2017-08-11,A Framework for BGP Abnormal Events Detection,University of Porto,,,,Peer,
L. Wei; J. Heidemann,2017-08-07,Does anycast hang up on you?,2017 Network Traffic Measurement and Analysis Conference (TMA),,,,Conference Paper,
T. Holterbach; S. Vissichio; A. Dainotti; L. Vanbever,2017-08-07,SWIFT: Predictive Fast Reroute,SIGCOMM '17: Proceedings of the Conference of the ACM Special Interest Group on Data Communication,,,460-473,Conference Paper,
V. N. Zadorozhnyi; E. B. Yudin; M. N. Yudina,2017-08-03,Analytical and numerical methods of calibration for preferential attachment randon graphs,2017 International Siberian Conference on Control and Communications (SIBCON),,,,Conference Paper,
A. Shaghaghi; M. Kaafar; S. Jha,2017-08-01,WedgeTail 2.0: An Intrusion Prevention System for the Data Plane of Software Defined Networks,arXiv:1708.05477,,,,Peer,
E. Gregori; A. Improta; L. Sani,2017-08-01,On the African peering connectivity revealable via BGP route collectors,National Research Council of Italy,,,,Peer,
M. Luckie; R. Beverly,2017-08-01,Impact of Router Outages on the AS-level Internet,ACM SIGCOMM,,,488-501,Conference Paper,
T. Holterbach; S. Vissicchio; A. Dainotti; L. Vanbever,2017-08-01,SWIFT: Predictive Fast Reroute,ACM SIGCOMM,,,,Conference Paper,
V. Giotsas; C. Dietzel; G. Smaragdakism; A. Feldmann; A. Berger; E. Aben,2017-08-01,Detecting Peering Infrastructure Outages in the Wild,ACM SIGCOMM,,,,Conference Paper,
M. Bienknowski; J. Marcinkowski; M. Pacut; S. Schmid; A. Spyra,2017-07-24,Online Tree Caching,SPAA '17: Proceedings of the 29th ACM Symposium on Parallelism in Algorithms and Architectures,,,329-338,Conference Paper,
R. Fontugne; A. Shah; E Aben,2017-07-22,AS Hegemony: A Robust Metric for AS Centrality,Proceedings of SIGCOMM Posters and Demos ‘17,,,48-50,Conference Paper,
R. Hiran; N. Carlsson; N. Shahmehri,2017-07-20,Collaborative framework for protection against attacks targeting BGP and edge networks,,122,,120-137,Peer,
S. Chattopadhyay; N. Sett; S. Nandi; S. Chakraborty,2017-07-08,FLIPPER: Fault-tolerant distributed network management and control,2017 IFIP/IEEE Symposium on Integrated Network and Service Management (IM),,,,Conference Paper,
B. Chitamba,2017-07-01,Visualizing the African Internet Topology from Measurement Data,University of Cape Town,,,,Conference Paper,
G. Hu; W. Chen; Q. Li; Y. Jiang; K. Xu,2017-07-01,TrueID: A practical solution to enhance Internet accountability by assigning packets with creditable user identity code,Future Generation Computer Systems,72,,219-226,Peer,
R. Fanou; P. Francois; E. Aben; M. Mwangi; N. Goburdhan; F. Valera,2017-07-01,Four years tracking unrevealed topological changes in the african interdomain,Computer Communications,106,,117-135,Peer,
S. Sultana; B Revathi,2017-07-01,Personal and Confirmable Inter Domain Routing Decisions,International Journal of Advanced Technology and Innovative Research,9,8,1311-1315,Conference Paper,
V. K. Sriram; D. Montgomery,2017-07-01,Design and analysis of optimization algorithms to minimize cryptographic processing in BGP security protocols,Computer Connections,106,,75-85,Peer,
V. Sriram; D. Montgomery,2017-07-01,Design and analysis of optimization alogrithms to minimize cryptographic processing in BGP security protocols,Computer Communications,106,,75-85,Peer,
R. Bennesby da Silva; E. S. Mota,2017-06-30,A Survey on Approaches to Reduce BGP Interdomain Routing Convergence Delay on the Internet,IEEE Communications Surveys & Tutorials,19,4,2949-2984,Peer,
P. Sermpezis; G. Nomikos; X. Dimitropoulos,2017-06-22,Re-mapping the Internet: Bring the IXPs into Play,Cornell University,,,,Peer,
M. Utsumi; H. Asai; H. Esaki,2017-06-14,Spatio-Temporal Modeling of BGP Routing Table Evolution,CFI'17: Proceedings of the 12th International Conference on Future Internet Technologies,,,,Conference Paper,
B. Yang; Y. Lu; K. Zhu; Y. Zhang; J. Liu,2017-06-03,Evolution of the Internet and its measures,2017 First International Conference on Electronics Instrumentation & Information Systems (EIIS),,,,Conference Paper,
A. Reuter; R. Bush; I. Cunha; E. Katz-Bennett; T. Schmidt; M. Wahlisch,2017-06-01,Towards a Rigorous Methodology for Measuring Adoption of RPKI Route Validation and Filtering,arXiv:1706.04263,,,,Peer,
B. Yang; Y. Lu; K. Zhu; Y. Zhang; J. Liu,2017-06-01,Evolution of the Internet and its measures,2017 First International Conference on Electronics Instrumentation & Information Systems,,,,Conference Paper,
J. Lui; B. Yang; J. Liu; Y. Lu; K. Zhu,2017-06-01,Proceedings of the Advances in Materials, Machinery, Electrical Engineering,AMMEE 2017,,,,Conference Paper,
M. Utsumi; H. Asai; H. Esaki,2017-06-01,Spatio-Temporal Modeling of BGP Routing Table Evolution,CFI '17 Proceedings of the 12th International Conference on Future Internet Technologies,,8,,Conference Paper,
Rawat; Madhur; Chakravarty; Sambuddho,2017-06-01,Citadels in cyberspace,MTech,,,,Peer,
B. Fabian; A. Baumann; M. Ehlert; V. Ververis; T. Ermakova,2017-05-21,CORIA — Analyzing internet connectivity risks using network graphs,2017 IEEE International Conference on Communications (ICC),,,,Conference Paper,
S. Lazfi; S. Lamzabi; A. Rachadi; H. Ez-Zahraouy,2017-05-17,The impact of neighboring infection on the computer virus spread in packets on scale-free networks,International Journal of Modern Physics B,31,30,,Peer,
J. Gamba; R. Fontugne; C. Pelsser; R. Bush; E. Aben,2017-05-01,BGP Table Fragmentation: what & who?,Rencontres Francophones sur la Conception de Protocoles, l'Evaluation de Performance et l'Experimentation des Reseaux de Communication,,,,Conference Paper,
J. Obstfeld; X. Chen; O. Frebourg; P. Sudheendra,2017-05-01,Towards Near Real-Time BGP Deep Analysis: A Big-Data Approach,arXiv:1705.08666,,,,Peer,
M. A. Canbaz; J. Thom; M. H. Gunes,2017-05-01,Comparative analysis of internet topology data sets,2017 IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),,,,Conference Paper,
Y. Wang; J. Bi; K. Zhang,2017-04-13,A SDN-Based Framework for Fine-Grained Inter-domain Routing Diversity,Mobile Networks andn Applications,22,,906-917,Peer,
A. Shaghagi; M. A. Kaafar; S. Jha,2017-04-02,WedgeTail: An Intrusion Prevention System for the Data Plane of Software Defined Networks,ASIA CCS '17: Proceedings of the 2017 ACM on Asia Conference on Computer and Communications Security,,,849-861,Conference Paper,
H. Nguyen; C. Phung; S. Secci; B. Felix; M. Nogueira,2017-04-01,Can MPTCP Secure Internet Communications from Man-in-the-Middle Attacks?,arXiv:1704.07154,,,,Peer,
Y. Sun; A. Edmundson; N. Feamster; M. Chiang; P. Mittal,2017-04-01,Counter-RAPTOR: Safeguarding Tor Against Active Routing Attacks,arXiv:1704.00843,,,,Peer,
A. Horn; A. Kheradmand; M. Prasad,2017-03-29,Delta-net: Real-time Network Verification Using Atoms,NSDI '17,,,,Conference,
H. Luo; Z. Chen; J. Li; A. V. Vasilakos,2017-03-28,Preventing Distributed Denial-of-Service Flooding Attacks With Dynamic Path Identifiers,IEEE Transactions on Information Forensics and Security,12,8,1801-1815,Conference Paper,
M. Apostaolaki; A. Zohar; L. Vanbever,2017-03-26,Hijacking Bitcoin: Routing Attacks on Cryptocurrencies,2017 IEEE Symposium of Security and Privacy (SP),,,,Conference Paper,
Q. Lone; M. Luckie; M. Korczy_ski; M. va. Eeten,2017-03-01,Using Loops Observed in Traceroute to Infer the Ability to Spoof,Passive and Active Measurement Conference (PAM),,,,Conference Paper,
T. Fiebig; K. Borgolte; S. Hao; C. Kruegel; G. Vigna,2017-02-17,Something from Nothing (There): Collecting Global IPv6 Datasets from DNS,International Conference on Passive and Active Network Measurement (PAM 2017),,,30-43,Conference Paper,
J. T. Araujo; R. Landa; R. G. Clegg; G. Pavlou; K. Fukuda,2017-02-11,On rate limitation mechanisms for TCP throughput: A longitudinal analysis,Computer Networks,,,,Peer,
L. Bergamaschi; E. Bozzo,2017-02-06,Computing the smallest eigenpairs of the graph Laplacian,SeMA Journal,775,,1-16,Peer,
A. Al-B aghdadi,2017-01-01,Computing Top-K Closeness Centrality In Unweighted Undirected Graphs Revisited,Kent State University,,,,Peer,
A. Davanian,2017-01-01,EFFECTIVE GRANULARITY IN INTERNET BADHOOD DETECTION: DETECTION RATE, PRECISION AND IMPLEMENTATION PERFORMANCE,University of Twente,,,,Conference Paper,
A. Ulmer; J. Kohlhammer; H. Shulman,2017-01-01,Towards Enhancing the Visual Analysis of Interdomain Routing,International Conference on Information Visualization Theory and Applications,,,,Conference Paper,
B. A-Musawi,2017-01-01,Detecting BGP Anomalies Using Recurrence Quantification Analysis,Swinburne University of Technology,,,,Thesis,
C. Chen; A. Perrig,2017-01-01,PHI: Path-Hidden Lightweight Anonymity Protocol at Network Layer,ETHZurich,,,,Peer,
D. Yu,2017-01-01,Access control for network management,University of Cambridge,,,,Peer,
G. Huston,2017-01-01,BGP in 2016,The ISP Column,,,,Self,
H. H. Alshamrani,2017-01-01,Detecting IP prefix hijack events using BGP activity and AS connectivity analysis,University of Plymouth,,,,Conference Paper,
J. Croft,2017-01-01,Toward predictable control of software-defined networks,University of Illinois,,,,Peer,
J. H. Park,2017-01-01,Investigating an Approach for Discovering Second Hop Neighbors in BGP,University of California, San Diego,,,,Thesis,
JM Spring; L. Metcalf; D. Ruef,2017-01-01,Open-source Measurement of Fast-flux Networks While Considering Domain-name Parking,Proceedings of the Learning from Authoritative Security Experiment Results (LASER) 2017 workshop. USENIX,,,,Conference Paper,
L. Graser,2017-01-01,Design and implementation of an evaluation testbed for fog computing infrastructure and applications,University of Stuttgart,,,,Peer,
N. Rishab,2017-01-01,DOCTor: Defending and Opening Communication on Tor,State University of New York,,,,Peer,
P. Moriano; S. Iyer; L. J. Camp,2017-01-01,Characterization of Internet Routing Anomalies Through Graph Mining,Indiana University,,,,Peer,
Q. Jiang; H. Hu; G. Hu,2017-01-01,Two-Type Information Fusion Based IP-to-AS Mapping Table Refining,Journal of Computer Science and Technology,32,,571-584,Conference Paper,
Y. Qu; C. Zhang; C. Wang; F. Liu; H. Xu; Y. Liu,2017-01-01,On-demand Interdomain Path Building Protocol,Procedia Computer Science,112,,609-616,Peer,
W. Czech; W. Mielczarek; W. Dzwinel,2016-12-23,Distributed computing of distance-based graph invariants for analysis and visualization of complex networks,Concurrency and Computation: Practice and Experience,,,,Peer,
A. Chatterjee; A. Chakraborty; S. Pal; A. Mukherjee; M. Naskar,2016-11-01,Non-autonomous dynamic network model involving growth and decay,2016 IEEE International Conference on Advanced Networks and Telecommunications Systems,,,,Conference Paper,
A. Shah; R. Fontugne; C. Cpapdopoulos,2016-11-01,Towards characterizing international routing detours,AINTEC '16 Proceedings of the 12th Asian Internet Engineering Conference,,,17-24,Conference Paper,
C. Orsini; A. King; D. Giordano; V. Giostas; A. Dainotti,2016-11-01,BGPStream: A Software Framework for Live and Historical BGP Data Analysis,IMC '16 Proceedings of the 2016 Internet Measurement Conference,,,429-444,Conference Paper,
C. Orsini; A. King; D. Giordano; V. Giotsas; A. Dainotti,2016-11-01,BGPStream: a software framework for live and historical BGP data analysis,Internet Measurement Conference (IMC),,,,Conference Paper,
E. Gregori; A. Improta; L. Sani,2016-11-01,Isolario: a Do-ut-des Approach to Improve the Appeal of BGP Route Collecting,arXiv,,,,Peer,
M. Chen; M. Xu; Y. Yang; Q. Li,2016-11-01,A Measurement Study on the Distribution Disparity of BGP Instabilities,2016 IEEE 41st Conference on Local Computer Networks,,,,Conference Paper,
M. Luckie; A. Dhamdhere; B. Huffaker; D. Clark; K. Claffy,2016-11-01,bdrmap: Interference of Borders Between IP Networks,Internet Measurement Conference (IMC),,,381-396,Conference Paper,
R. Kloti; B. Ager; V. Kotronis; G. Nomikos; X. Dimitropoulos,2016-11-01,A Comparative Look into Public IXP Datasets,arXiv:1611.02624,,,,Peer,
R. Kloti; V. Kotronis; B. Ager; X. Dimitropoulos,2016-11-01,Policy-Compliant Path Diversity and Bisection Bandwidth,arXiv:1611.02842,,,,Peer,
R. Padmanabhan; A. Dhamdhere; E. Aben; K. Claffy; N. Spring,2016-11-01,Reasons Dynamic Addresses Change,Internet Measurement Conference (IMC),,,,Conference Paper,
V. Kotronis; R. Kloti; M. Rost; P. Georgopoulos; B. Ager; S. Schmid; X. Dimitropoulos,2016-11-01,Stitching Inter-Domain Paths over IXPs,arXiv:1611.02642,,,,Peer,
C. Chen; D. Barrera; A. Perrig,2016-10-01,Modeling Data-Plane Power Consumption of Future Internet Architectures,arXiv:1610.01511,,,,Peer,
K. Benton; L. Camp,2016-10-01,Firewalling Scenic Routes: Preventing Data Exfiltration via Political and Geographic Routing Policies,SafeConfig '16 Proceedings of the 2016 ACM Workshop on Automated Decision Making for Active Cyber Defense,,,31-36,Conference Paper,
W. Ma; J. Zhang; F. Teng,2016-10-01,A hybrid scheme for routing lookup with fast updates based on TCAMs,2016 2nd IEEE International Conference on Computer and Communications,,,,Conference Paper,
A. Chin; T. Goodrich; M. O'Brien; F. Reidl; B. Sullivan; A. va. de. Poel,2016-09-01,Asymptotic Analysis of Equivalences and Core-Structures in Kronecker-Style Graph Models,arXiv:1609.05081,,,,Peer,
P. Sermpezis; G. Chaviaras; P. Gigis; X. Dimitropoulos,2016-09-01,Monitor, Detect, Mitigate: Combating BGP Prefix Hijacking in Real-Time with ARTEMIS,Proceedings of the ACM SIGCOMM 2016 Conference,,,625-626,Conference Paper,
G. Chaviaras; P. Gigis; P. Sermpezis; X. Dimitropoulos,2016-08-01,ARTEMIS: Real-Time Detection and Automatic Mitigation for BGP Prefix Hijacking,SIGCOMM '16 Proceedings of the 2016 ACM SIGCOMM Conference,,,625-626,Conference Paper,
A. Dainotti; E. Katz-Bassett; X. Dimitropoulos,2016-07-01,The BGP Hackathon 2016 Report,ACM SIGCOMM Computer Communication Review (CCR),,,,Peer,
J. Rohrer; B. LaFever; R. Beverly,2016-07-01,Empirical Study of Router IPv6 Interface Address Distribution,IEEE Internet Computing,20,4,36-45,Peer,
L. Trajkovic,2016-07-01,Mining Network Traffic Data,Presentation at University,,,,Self,
O. Gasser; Q. Scheitle; S. Gebhard; G. Carle,2016-07-01,Scanning the IPv6 Internet: Towards a Comprehensive Hitlist,arXiv:1607.05179,,,,Peer,
M. Masoud; Y. Jaradat; I. Jannoud; H. Huang,2016-06-22,The Impact of 16-bit and 32-bit ASNs Coexistence on the Accuracy of Internet AS Graph,Journal of Network and Systems Management,25,,253-268,Peer,
A. Dainotti; K. Benson; A. King; B. Huffaker; E. Glatz; X. Dimitopoulos; P. Richter; A. Finamore; A. Snoeren,2016-06-01,Lost in Space: Improving Inference of IPv4 Address Space Utilization,IEEE Journal on Selected Areas in Communications (JSAC),34,6,1862-1876,Peer,
J. Pickard; J. Southworth,2016-06-01,The State of IPv6: Measuring Global Adoption,2016 ASEE Annual Conference and Exposition,,,,Conference Paper,
J. Schlamp; R. Holz; Q. Jacquemart; G. Carle; E. Bersack,2016-06-01,HEAP: Reliable Assessment of BGP Hijacking Attacks,arXiv:1607.00096,,,,Peer,
M. Schuchard; N. Hopper,2016-06-01,E-Embargoes: Discouraging the Deployment of Traffic Manipulating Boxes With Economic Incentives,arXiv:1606.08536,,,,Peer,
P. Richter; G. Smaragdakis; D. Plonka; A. Berger,2016-06-01,Beyond Counting: New Perspectives on the Active IPv4 Address Space,arXiv:1606.00360,,,,Peer,
D. Hauweele; B. Quoitin; C. Pelsser; R. Bush,2016-05-01,The Origin of BGP Duplicates,CoRes 2016,,,,Conference Paper,
J. Klick; S. Lau; M. Wahlisch; V. Roth,2016-05-01,Towards Better Internet Citizenship: Reducing the Footprint of Internet-wide Scans by Topology Aware Prefix Selection,arXiv:1605.05856,,,,Peer,
J. Schlamp; M. Wahlisch; T. Schmidt; G. Carle; E. Biersack,2016-05-01,CAIR: Using Formal Languages to Study Routing, Leaking, and Interception in BGP,arXiv:1605.00618,,,,Peer,
M. Apostolaki; A. Zohar; L. Vanbever,2016-05-01,Hijacking Bitcoin: Routing Attacks on Cryptocurrencies,arXiv:1605.07524,,,,Peer,
M. _osovi_; S. Obradovió; L. Trajkovi_,2016-05-01,Classifying anomalous events in BGP datasets,2016 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE),,,,Conference Paper,
R. Beverly,2016-05-01,Yarrp'ing the Internet: Randomized High-Speed Active Topology Discovery,arXiv:1605.03999,,,,Peer,
R. Nithyanand; R. Singh; S. Cho; P. Gill,2016-05-01,Holding all the ASes: Identifying and Circumventing the Pitfalls of AS-aware Tor Client Design,arXiv:1605.03596,,,,Peer,
A. Akella,2016-04-01,ACM SIGCOMM Student Mentoring Column: On Testbeds and Datasets,ACM SIGCOMM Computer Communication Review,46,2,40-42,Peer,
E. Rye; J. Roher; R. Beverly,2016-04-01,Revisiting AS-Level graph reduction,2016 IEEE Conference on Computer Communications Workshops,,,,Conference Paper,
I. Livadariu; A. Elmokashfi; A. Dhamdhere,2016-04-01,Characterizing IPv6 control and data plane stability,IEEE Conference on Computer Communications (INFOCOM),,,,Conference Paper,
S. Kirkpatrick,2016-03-06,Once the internet can measure itself,Philosophical Transactions: Mathematical, Physical, and Engineering Sciences,374,2062,1-10,Peer,
B. Jones; N. Feamster; V. Paxson; N. Weaver; M. Allman,2016-03-01,Detecting DNS Root Manipulation,International Conference on Passive and Active Network Measurement,,,276-288,Conference Paper,
G. Nomikos; X. Dimitropoulos,2016-03-01,traIXroute: Detecting IXPs in traceroutepaths,International Conference on Passive and Active Network Measurement,,,346-358,Conference Paper,
Í._Cunha; P. Marchetta; M. Calder; Y. Chiu; B. Schlinker; B. Machado; A. Pescapè; V. Giotsas; H. Madhyastha; E. Katz-Bassett,2016-03-01,Sibyl: A Practical Internet Route Oracle,USENIX Symposium on Networked Systems Design and Implementation (NSDI),,,,Conference Paper,
V. Giotsas; A. Dhamdhere; K. Claffy,2016-03-01,Periscope: Unifying Looking Glass Querying,Passive and Active Network Management Workshop (PAM),,,,Conference Paper,
J. Czyz; M. Luckie; M. Allman; M. Bailey,2016-02-01,Don't Forget to Lock the Back Door! A Characterization of IPv6 Network Security Policy,Network and Distributed Systems Security (NDSS),,,,Conference Paper,
Q. Gao; F. Wang; L. Gao,2016-01-01,Quantifying AS Path Inflation by Routing Policies,International Journal of Future Generation Communication and Networking,,,,Peer,
R. Fanou; V. Sanchez; F. Valera; M. Mwangi; J. Coffin,2016-01-01,African Route Collectors Data Analyzer: a compass to support peering growth in the region,Presentation at Conference,,,,Conference Paper,
Y. Wang; J. Bi; K. Zhang,2015-12-30,A tool for tracing network data plane via SDN/OpenFlow,Science China Information Sciences,60,,,Peer,
B. Al-Musawi; P. Branch; G. Armitage,2015-12-01,Detecting BGP instability using Recurrence Quantification Analysis (RQA),2015 IEEE 34th International Performance Computing and Communications Conference,,,,Conference Paper,
B. Chandrasekaran; G. Smaragdakis; A. Berger; M. Luckie; K. Ng,2015-12-01,A Server-to-Server View of the Internet,ACM SIGCOMM Conference on emerging Networking EXperiments and Technologies (CoNEXT),,,,Conference Paper,
V. Giotsas; G. Smaragdakis; B. Huffaker; M. Luckie; K. Claffy,2015-12-01,Mapping Peering Interconnections to a Facility,ACM SIGCOMM Conference on emerging Networking EXperiments and Technologies (CoNEXT),,,,Conference Paper,
A. Johnson; R. Jansen; A. Jaggard; J. Feigenbaum; P. Syverson,2015-11-01,Avoiding The Man on the Wire: Improving Tor's Security with Trust-Aware Path Selection,arXiv:1511.05453,,,,Peer,
A. Shah; C. Papadopoulos,2015-11-01,Characterizing International BGP Detours,Computer Science Technical Report - Colorado State University,,,,Peer,
M. Kitsak; A. Elmokashfi; S. Havlin; D. Krioukov,2015-11-01,Long-Range Correlations and Memory in the Dynamics of Internet Interdomain Routing,PLOS ONE,,,01-Dec,Peer,
C. Orsini; A. King; A. Dainotti,2015-10-01,BGPStream: a software for live and historical BGP data analysis,Center for Applied Internet Data Analysis (CAIDA),,,,Peer,
P. Barucca; D. Tantari; F. Lillo,2015-10-01,Centrality metrics and localization in core-periphery networks,arXiv:1510.01116,,,,Peer,
A. Dainotti; K. Benson; A. King; B. Huffaker; E. Glatz; X. Dimitropoulos; P. Richter; A. Finamore; A. Snoeren,2015-09-01,Lost in Space: Improving Inference of IPv4 Address Space Utilization,Center for Applied Internet Data Analysis (CAIDA),,,,Peer,
H. Alshamrani; B. Ghita; D. Lancaster,2015-09-01,Detecting IP Prefix hijacking using data reduction-based and Binary Search Algorithm,2015 Internet Technologies and Applications,,,,Conference Paper,
A. Faggiani; E. Gregori; L. Lenzini; V. Luconi,2015-08-01,Measuring the Internet Topology with Smartphones,C2B(1)D '15 Proceedings of the 2015 ACM SIGCOMM Workshop on Crowdsourcing and Crowdsharing of Big (Internet) Data,,,45-50,Conference Paper,
E. Gregori; A. Improta; L. Lenzini; L. Rossi; L. Sani,2015-08-01,A Novel Methodology to Address the Internet AS-level Data Incompleteness,IEEE/ACM Transactions on Networking (TON),23,4,1314-1327,Peer,
M. Raj; M. Mirzargar; R. Ricci; R. M. Kirby; R. T. Whitaker,2015-06-01,Path Boxplots: A Method for Characterizing Uncertainty in Path Ensembles on a Graph,Journal of Computational and Graphical Studies,,,,Peer,
Q. Zhang; X. Xu; Y. Zhu; T. Zhou,2015-06-01,Measuring multiple evolution mechanisms of complex networks,Scientific Reports,5,,,Peer,
C. Dietzel,2015-05-17,Improving Security and Resilience Capabilities of the Internet Infastructure,Technische Universitat Berlin,,,,Peer,
E. Carisimo; H. Galperin; J. Ignaci. Alvarez-Hamelin,2015-05-01,A new intrinsic way to measure IXP performance: an experience in Bolivia,arXiv:1505.00837,,,,Peer,
F. Coras; J. Domingo-Pascual; A. Cabellos-Aparicio,2015-04-01,On the Scalability of LISP Mappings Caches,arXiv:1504.03004,,,,Peer,
I. Livadariu; S. Ferlin;Ö._Alay; T. Dreibholz; A. Dhamdhere; A. Elmokashfi,2015-04-01,Leveraging the IPv4/IPv6 Identity Duality by using Multi-Path Transport,IEEE Global Internet Symposium (GI),,,,Conference Paper,
D. Iamartino; C. Pelsser; R. Bush,2015-03-01,Measuring BGP Route Origin Registration and Validation,Passive and Active Measurement Workshop (PAM),8995,,28-40,Conference Paper,
E. Rye; J. Rohrer,2015-03-01,Graph reduction for emulated network experimentation,Unknown,,,,Peer,
R. Beverly; M. Luckie; L. Mosley; K. Claffy,2015-03-01,Measuring and Characterizing IPv6 Router Availability,Passive and Active Network Management Workshop (PAM),,,123-135,Conference Paper,
R. Mazloum; J. Auge; D. Rossi; T. Friedman,2015-03-01,Errors announcing 32-bit ASNs in BGP routes,2015 11th International Conference on the Design of Reliable Communication Networks,,,,Conference Paper,
V. Giotsas; M. Luckie; B. Huffaker; K. Claffy,2015-03-01,IPv6 AS Relationships, Clique, and Congruence,Passive and Active Network Management Workshop (PAM),,,111-122,Conference Paper,
C. James; N. Carlsson,2015-01-01,Green Domino Incentives: Impact of Energy-aware Adaptive Link Rate Policies,ICPE '15 Proceedings of the 6th ACM/SPEC International Conference on Performance Engineering,,,211-221,Conference Paper,
Y. Lee; Y. Lee,2015-01-01,Yet Another BGP Archive Forensic Analysis Tool Using Hadoop and Hive,Journal of Korean Institute of Information Scientists and Engineers,42,4,541-549,Peer,
A. Dainotti; C. Squarcella; E. Aben; K. Claffy; M. Chiesa; M. Russo; A. Pescapè,2014-12-01,Analysis of Country-wide Internet Outages Caused by Censorship,IEEE/ACM Transactions on Networking,22,6,1964-1977,Peer,
J. Schlamp; J. Gustafsson; M. Wahlisch; T. Schmidt; G. Carle,2014-12-01,The Abandoned Side of the Internet: Hijacking Internet Resources When Domain Names Expire,arXiv:1412.5052,,,,Peer,
V. Giotsas; M. Luckie; B. Huffaker; K. Claffy,2014-11-01,Inferring Complex AS Relationships,Internet Measurement Conference (IMC),,,23-30,Conference Paper,
A. Dainotti; K. Benson; A. King; K. Claffy; E. Glatz; X. Dimitropoulos; P. Richter; A. Finamore; A. Snoeren,2014-10-01,Lost in Space: Improving Inference of IPv4 Address Space Utilization,Center for Applied Internet Data Analysis (CAIDA),,,,Peer,
H. Kim; D. Kwon; H. Ju,2014-09-01,Analysis of ICMP Policy for Edge Firewalls Using Active Probing,The 16th Asia-Pacific Network Operations and Management Symposium,,,,Peer,
A. Alwabel; M. Yu; Y. Zhang; J. Mirkovic,2014-08-01,SENSS: observe and control your own traffic in the internet,SIGCOMM '14 Proceeding of the 2014 ACM Conference on SIGCOMM,,,349-350,Conference Paper,
A. Alwabel; M. Yu; Y. Zhang; J. Mirkovic,2014-08-01,SENSS: observe and control your own traffic in the internet,ACM SIGCOMM Computer Communication Review,44,4,349-350,Peer,
S. Zhang; Y. Liu; D. Pei,2014-08-01,A Measurement study on BGP AS path looping (BAPL) behavior,2014 23rd International Conference on Computer Communication and Networks,,,,Conference Paper,
L. Sani,2014-07-01,An Analysis of the Completeness of the Internet AS-Level Topology Discovered by Route Collectors,Ph.D. thesis, IMT - Institute for Advanced Studies,,,,Self,
M. Luckie,2014-07-01,Spurious Routes in public BGP Data,ACM SIGCOMM Computer Communication Review,44,3,14-21,Peer,
M. Wubbeling,2014-07-01,Improved Routing Anomaly Detection to Protect End Users,GI FG SIDAR Graduierten-Workshop uber Reaktive Sicherheit,,,6,Self,
A. Faggiani; E. Gregori; L. Lenzini; V. Luconi; L. Sani; A. Improta,2014-06-01,A Study on Traceroute Potentiality in Revealing the Internet AS-Level Topology,Proceedings of IFIP TC-6 Networking,,,01-Sep,Conference Paper,
A. Jaggard; A. Johnson; P. Syverson; J. Feigenbaum,2014-06-01,Representing Network Trust and Using It to Improve Anonymous Communication,arXiv:1406.3583,,,,Peer,
M. Luckie,2014-06-01,Spurious Routes in BGP Data,ACM SIGCOMM Computer Communication Review (CCR),44,3,15-21,Self,
T. Griffin; Z. Mao,2014-05-26,Interdomain Routing Streams,Unknown,,,, “,
A. Lutu; M. Bagnulo; J. Cid-Sueiro; O. Maennel,2014-05-01,Separating wheat from chaff: Winnowing unintended prefixes using machine learning,IEEE INFOCOM 2014 - IEEE Conference on Computer Communications,,,,Conference Paper,
P. Gutierrez,2014-04-21,BGP-4 Protocol Patterns and Their Impact on QoS Behavior,Self-Published,,,,Self,
A. Baumann; B. Fabian,2014-04-01,Who Runs the Internet? Classifying Autonomous Systems into Industries,Unknown,,,,Conference Paper,
A. Lodhi; A. Dhamdhere; C. Dovrolis,2014-04-01,Open Peering by Internet Transit Providers: Peer Preference or Peer Pressure?,IEEE Conference on Computer Communications (INFOCOM),,,,Conference Paper,
A. Lodhi; N. Larson; A. Dhamdhere; C. Dovrolis; K. Claffy,2014-04-01,Using PeeringDB to Understand the Peering Ecosystem,ACM SIGCOMM Computer Communication Review (CCR),44,2,21-27,Peer,
E. Gregori; A. Improta; L. Lenzini; L. Rossi; L. Sani,2014-04-01,Improving the Reliability of Inter-AS Economic Inferences Through a Hygiene Phase on BGP Data,Computer Networks,62,,197-207,Peer,
